plume_id,bug
GAO20191101t175852p0000-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20191101t175852p0000-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20191101t175852p0000-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20191101t175852p0000-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20191101t175852p0000-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20191101t175852p0000-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20191101t175852p0000-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20191101t175852p0000-A/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20191101t181517p0000-E,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20191101t181517p0000-E/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20191101t181517p0000-E/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20191101t181517p0000-E/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20191101t181517p0000-E/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20191101t181517p0000-E/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20191101t181517p0000-E/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20191101t181517p0000-E/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20191101t181517p0000-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20191101t181517p0000-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20191101t181517p0000-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20191101t181517p0000-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20191101t181517p0000-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20191101t181517p0000-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20191101t181517p0000-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20191101t181517p0000-A/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20200715t182609p0000-K,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20200715t182609p0000-K/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20200715t182609p0000-K/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20200715t182609p0000-K/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20200715t182609p0000-K/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20200715t182609p0000-K/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20200715t182609p0000-K/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20200715t182609p0000-K/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20200715t184712p0001-C,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20200715t184712p0001-C/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20200715t184712p0001-C/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20200715t184712p0001-C/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20200715t184712p0001-C/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20200715t184712p0001-C/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20200715t184712p0001-C/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20200715t184712p0001-C/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20200724t165348p0000-B,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20200724t165348p0000-B/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20200724t165348p0000-B/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20200724t165348p0000-B/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20200724t165348p0000-B/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20200724t165348p0000-B/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20200724t165348p0000-B/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20200724t165348p0000-B/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20211006t183559p0000-H,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20211006t183559p0000-H/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20211006t183559p0000-H/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20211006t183559p0000-H/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20211006t183559p0000-H/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20211006t183559p0000-H/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20211006t183559p0000-H/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20211006t183559p0000-H/s2_mask_512.tif;mask_msg=existing_512_mask
GAO20240420t182155p0000-C,pos_insufficient:0/16;neg_insufficient:10/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/GAO20240420t182155p0000-C/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/GAO20240420t182155p0000-C/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/GAO20240420t182155p0000-C/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/GAO20240420t182155p0000-C/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/GAO20240420t182155p0000-C/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/GAO20240420t182155p0000-C/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/GAO20240420t182155p0000-C/s2_mask_512.tif;mask_msg=existing_512_mask
ang20191008t172458-E,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/ang20191008t172458-E/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/ang20191008t172458-E/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/ang20191008t172458-E/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/ang20191008t172458-E/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/ang20191008t172458-E/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/ang20191008t172458-E/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/ang20191008t172458-E/s2_mask_512.tif;mask_msg=existing_512_mask
ang20191018t165503-7,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/ang20191018t165503-7/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/ang20191018t165503-7/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/ang20191018t165503-7/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/ang20191018t165503-7/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/ang20191018t165503-7/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/ang20191018t165503-7/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/ang20191018t165503-7/s2_mask_512.tif;mask_msg=existing_512_mask
